,,,,,,,,
,,,,,,,,
 RATE,Item Group,Service Name,Online/Offline,Duration,Single Session (INR),INCLUDES,Short Description,Long Description
,Nutrition & Dietetics,Senior Nutrition Counselling,Both,45 min,800,,Senior Nutrition Counselling is a 45 min session available both under our Nutrition & Dietetics services.,"Our Senior Nutrition Counselling offers personalized support designed to enhance well-being within the area of Nutrition & Dietetics. This 45 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Nutrition & Dietetics,"Food Allergy & Intolerance
Planning",Both,45 min,"1,000",,"Food Allergy & Intolerance
Planning is a 45 min session available both under our Nutrition & Dietetics services.","Our Food Allergy & Intolerance
Planning offers personalized support designed to enhance well-being within the area of Nutrition & Dietetics. This 45 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Nutrition & Dietetics,Weekly Diet Monitoring & Feedback,Online,15 min,-,,Weekly Diet Monitoring & Feedback is a 15 min session available online under our Nutrition & Dietetics services.,"Our Weekly Diet Monitoring & Feedback offers personalized support designed to enhance well-being within the area of Nutrition & Dietetics. This 15 min session, available online, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Nutrition & Dietetics,"Emotional Eating & Mindful Eating
Coaching",Both,45 min,"1,000",,"Emotional Eating & Mindful Eating
Coaching is a 45 min session available both under our Nutrition & Dietetics services.","Our Emotional Eating & Mindful Eating
Coaching offers personalized support designed to enhance well-being within the area of Nutrition & Dietetics. This 45 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Nutrition & Dietetics,"Corporate Nutrition Wellness
Programs",Offline,1-2 hours,"5,000",,"Corporate Nutrition Wellness
Programs is a 1-2 hours session available offline under our Nutrition & Dietetics services.","Our Corporate Nutrition Wellness
Programs offers personalized support designed to enhance well-being within the area of Nutrition & Dietetics. This 1-2 hours session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Nutrition & Dietetics,"Personalized
Supplement Planning",Both,30 min,700,,"Personalized
Supplement Planning is a 30 min session available both under our Nutrition & Dietetics services.","Our Personalized
Supplement Planning offers personalized support designed to enhance well-being within the area of Nutrition & Dietetics. This 30 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Nutrition & Dietetics,Meal Prep & Recipe Consultation,Online,30 min,600,,Meal Prep & Recipe Consultation is a 30 min session available online under our Nutrition & Dietetics services.,"Our Meal Prep & Recipe Consultation offers personalized support designed to enhance well-being within the area of Nutrition & Dietetics. This 30 min session, available online, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Nutrition & Dietetics,"Sustainable Weight Loss
Program",Both,60 min,"1,200",,"Sustainable Weight Loss
Program is a 60 min session available both under our Nutrition & Dietetics services.","Our Sustainable Weight Loss
Program offers personalized support designed to enhance well-being within the area of Nutrition & Dietetics. This 60 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Beauty & Aesthetics,"Bespoke Facial
Treatment",Offline,60 min,"2,000",,"Bespoke Facial
Treatment is a 60 min session available offline under our Beauty & Aesthetics services.","Our Bespoke Facial
Treatment offers personalized support designed to enhance well-being within the area of Beauty & Aesthetics. This 60 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Beauty & Aesthetics,Anti-Aging Facial,Offline,75 min,"3,000",,Anti-Aging Facial is a 75 min session available offline under our Beauty & Aesthetics services.,"Our Anti-Aging Facial offers personalized support designed to enhance well-being within the area of Beauty & Aesthetics. This 75 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Beauty & Aesthetics,"Deep Cleansing
Facial",Offline,60 min,"1,500",,"Deep Cleansing
Facial is a 60 min session available offline under our Beauty & Aesthetics services.","Our Deep Cleansing
Facial offers personalized support designed to enhance well-being within the area of Beauty & Aesthetics. This 60 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Beauty & Aesthetics,Bridal Skincare Package,Offline,,-,,Bridal Skincare Package is a customized duration session available offline under our Beauty & Aesthetics services.,"Our Bridal Skincare Package offers personalized support designed to enhance well-being within the area of Beauty & Aesthetics. This customized duration session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Beauty & Aesthetics,Back Facial & Exfoliation,Offline,45 min,"1,800",,Back Facial & Exfoliation is a 45 min session available offline under our Beauty & Aesthetics services.,"Our Back Facial & Exfoliation offers personalized support designed to enhance well-being within the area of Beauty & Aesthetics. This 45 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Beauty & Aesthetics,"Hand & Foot Rejuvenation
Treatment",Offline,30 min,"1,000",,"Hand & Foot Rejuvenation
Treatment is a 30 min session available offline under our Beauty & Aesthetics services.","Our Hand & Foot Rejuvenation
Treatment offers personalized support designed to enhance well-being within the area of Beauty & Aesthetics. This 30 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Beauty & Aesthetics,Body Polish & Wrap,Offline,60 min,"2,500",,Body Polish & Wrap is a 60 min session available offline under our Beauty & Aesthetics services.,"Our Body Polish & Wrap offers personalized support designed to enhance well-being within the area of Beauty & Aesthetics. This 60 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Beauty & Aesthetics,Hydrating Body Treatment,Offline,60 min,"2,000",,Hydrating Body Treatment is a 60 min session available offline under our Beauty & Aesthetics services.,"Our Hydrating Body Treatment offers personalized support designed to enhance well-being within the area of Beauty & Aesthetics. This 60 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Beauty & Aesthetics,Customized Body Massage (Aromatherapy),Offline,60 min,"1,500",,Customized Body Massage (Aromatherapy) is a 60 min session available offline under our Beauty & Aesthetics services.,"Our Customized Body Massage (Aromatherapy) offers personalized support designed to enhance well-being within the area of Beauty & Aesthetics. This 60 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Beauty & Aesthetics,"Medi-Facial
",Offline,60 min,"3,000",,"Medi-Facial
 is a 60 min session available offline under our Beauty &
Aesthetics services.","Our Medi-Facial
 offers personalized support designed to enhance well-being within the area of Beauty &
Aesthetics. This 60 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Yoga & Mindfulness,"Private Yoga
Session",Both,60 min,800,,"Private Yoga
Session is a 60 min session available both under our Yoga & Mindfulness services.","Our Private Yoga
Session offers personalized support designed to enhance well-being within the area of Yoga & Mindfulness. This 60 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Yoga & Mindfulness,Therapeutic Yoga for Chronic Pain,Both,60 min,900,,Therapeutic Yoga for Chronic Pain is a 60 min session available both under our Yoga & Mindfulness services.,"Our Therapeutic Yoga for Chronic Pain offers personalized support designed to enhance well-being within the area of Yoga & Mindfulness. This 60 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Yoga & Mindfulness,"Yoga for Anxiety &
Depression",Both,60 min,800,,"Yoga for Anxiety &
Depression is a 60 min session available both under our Yoga & Mindfulness services.","Our Yoga for Anxiety &
Depression offers personalized support designed to enhance well-being within the area of Yoga & Mindfulness. This 60 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Yoga & Mindfulness,Pranayama & Breathwork Coaching,Both,45 min,600,,Pranayama & Breathwork Coaching is a 45 min session available both under our Yoga & Mindfulness services.,"Our Pranayama & Breathwork Coaching offers personalized support designed to enhance well-being within the area of Yoga & Mindfulness. This 45 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Yoga & Mindfulness,"Guided Meditation
Session",Both,30 min,400,,"Guided Meditation
Session is a 30 min session available both under our Yoga & Mindfulness services.","Our Guided Meditation
Session offers personalized support designed to enhance well-being within the area of Yoga & Mindfulness. This 30 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Yoga & Mindfulness,Restorative Yoga for Stress Relief,Both,60 min,700,,Restorative Yoga for Stress Relief is a 60 min session available both under our Yoga & Mindfulness services.,"Our Restorative Yoga for Stress Relief offers personalized support designed to enhance well-being within the area of Yoga & Mindfulness. This 60 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Yoga & Mindfulness,"Corporate Yoga & Meditation
Session",Both,60-90 min,"3,000",,"Corporate Yoga & Meditation
Session is a 60-90 min session available both under our Yoga & Mindfulness services.","Our Corporate Yoga & Meditation
Session offers personalized support designed to enhance well-being within the area of Yoga & Mindfulness. This 60-90 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Yoga & Mindfulness,"Yoga for Senior
Citizens",Both,45 min,600,,"Yoga for Senior
Citizens is a 45 min session available both under our Yoga & Mindfulness services.","Our Yoga for Senior
Citizens offers personalized support designed to enhance well-being within the area of Yoga & Mindfulness. This 45 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Yoga & Mindfulness,Pre-natal Yoga,Both,60 min,800,,Pre-natal Yoga is a 60 min session available both under our Yoga & Mindfulness services.,"Our Pre-natal Yoga offers personalized support designed to enhance well-being within the area of Yoga & Mindfulness. This 60 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Yoga & Mindfulness,Post-natal Yoga,Both,60 min,800,,Post-natal Yoga is a 60 min session available both under our Yoga & Mindfulness services.,"Our Post-natal Yoga offers personalized support designed to enhance well-being within the area of Yoga & Mindfulness. This 60 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Holistic Wellness Packages,"Mind & Body Rejuvenati on
(1-week)",Both,7 days,-,,"Mind & Body Rejuvenati on
(1-week) is a 7 days session available both under our Holistic Wellness Packages services.","Our Mind & Body Rejuvenati on
(1-week) offers personalized support designed to enhance well-being within the area of Holistic Wellness Packages. This 7 days session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Holistic Wellness Packages,Ultimate Detox & Cleanse (2-weeks),Both,14 days,-,,Ultimate Detox & Cleanse (2-weeks) is a 14 days session available both under our Holistic Wellness Packages services.,"Our Ultimate Detox & Cleanse (2-weeks) offers personalized support designed to enhance well-being within the area of Holistic Wellness Packages. This 14 days session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Holistic Wellness Packages,"Weight Loss Transforma tion
(1-month)",Both,30 days,-,,"Weight Loss Transforma tion
(1-month) is a 30 days session available both under our Holistic Wellness Packages services.","Our Weight Loss Transforma tion
(1-month) offers personalized support designed to enhance well-being within the area of Holistic Wellness Packages. This 30 days session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Holistic Wellness Packages,Stress & Burnout Recovery (1-month),Both,30 days,-,,Stress & Burnout Recovery (1-month) is a 30 days session available both under our Holistic Wellness Packages services.,"Our Stress & Burnout Recovery (1-month) offers personalized support designed to enhance well-being within the area of Holistic Wellness Packages. This 30 days session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Holistic Wellness Packages,"Holistic Pain Manageme nt
(1-month)",Both,30 days,-,,"Holistic Pain Manageme nt
(1-month) is a 30 days session available both under our Holistic Wellness Packages services.","Our Holistic Pain Manageme nt
(1-month) offers personalized support designed to enhance well-being within the area of Holistic Wellness Packages. This 30 days session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Holistic Wellness Packages,"Posture & Core Strengtheni ng
(3-months)",Both,90 days,-,,"Posture & Core Strengtheni ng
(3-months) is a 90 days session available both under our Holistic Wellness Packages services.","Our Posture & Core Strengtheni ng
(3-months) offers personalized support designed to enhance well-being within the area of Holistic Wellness Packages. This 90 days session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Holistic Wellness Packages,Bridal Glow & Wellness (2-months),Both,60 days,-,,Bridal Glow & Wellness (2-months) is a 60 days session available both under our Holistic Wellness Packages services.,"Our Bridal Glow & Wellness (2-months) offers personalized support designed to enhance well-being within the area of Holistic Wellness Packages. This 60 days session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Holistic Wellness Packages,"Couples Wellness & Harmony
(1-month)",Both,30 days,-,,"Couples Wellness & Harmony
(1-month) is a 30 days session available both under our Holistic Wellness Packages services.","Our Couples Wellness & Harmony
(1-month) offers personalized support designed to enhance well-being within the area of Holistic Wellness Packages. This 30 days session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Holistic Wellness Packages,Senior Citizen Wellness (Monthly),Both,30 days,-,,Senior Citizen Wellness (Monthly) is a 30 days session available both under our Holistic Wellness Packages services.,"Our Senior Citizen Wellness (Monthly) offers personalized support designed to enhance well-being within the area of Holistic Wellness Packages. This 30 days session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Holistic Wellness Packages,Corporate Wellness Subscriptio n,Both,Monthly,-,,Corporate Wellness Subscriptio n is a monthly session available both under our Holistic Wellness Packages services.,"Our Corporate Wellness Subscriptio n offers personalized support designed to enhance well-being within the area of Holistic Wellness Packages. This monthly session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Meditation & Breathwork,One-on-on e Meditation Coaching,Both,45 min,700,,One-on-on e Meditation Coaching is a 45 min session available both under our Meditation & Breathwork services.,"Our One-on-on e Meditation Coaching offers personalized support designed to enhance well-being within the area of Meditation & Breathwork. This 45 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Meditation & Breathwork,"Group Meditation
Class",Both,60 min,400,,"Group Meditation
Class is a 60 min session available both under our Meditation &
Breathwork services.","Our Group Meditation
Class offers personalized support designed to enhance well-being within the area of Meditation &
Breathwork. This 60 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Meditation & Breathwork,Chakra Healing & Balancing,Offline,45 min,1200,,Chakra Healing & Balancing is a 45 min session available offline under our Meditation & Breathwork services.,"Our Chakra Healing & Balancing offers personalized support designed to enhance well-being within the area of Meditation & Breathwork. This 45 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Meditation & Breathwork,Sound Bath Therapy,Offline,60 min,1000,,Sound Bath Therapy is a 60 min session available offline under our Meditation & Breathwork services.,"Our Sound Bath Therapy offers personalized support designed to enhance well-being within the area of Meditation & Breathwork. This 60 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Meditation & Breathwork,"Stress Relief Breathwork
Session",Both,30 min,800,,"Stress Relief Breathwork
Session is a 30 min session available both under our Meditation & Breathwork services.","Our Stress Relief Breathwork
Session offers personalized support designed to enhance well-being within the area of Meditation & Breathwork. This 30 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Specialized Therapies,Acupressure Session,Offline,45 min,800,,Acupressure Session is a 45 min session available offline under our Specialized Therapies services.,"Our Acupressure Session offers personalized support designed to enhance well-being within the area of Specialized Therapies. This 45 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Specialized Therapies,"Reflexology (Foot &
Hand)",Offline,30 min,800,,"Reflexology (Foot &
Hand) is a 30 min session available offline under our Specialized Therapies services.","Our Reflexology (Foot &
Hand) offers personalized support designed to enhance well-being within the area of Specialized Therapies. This 30 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Specialized Therapies,Aromathera py Massage,Offline,60 min,1600,,Aromathera py Massage is a 60 min session available offline under our Specialized Therapies services.,"Our Aromathera py Massage offers personalized support designed to enhance well-being within the area of Specialized Therapies. This 60 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Specialized Therapies,Hijama (Cupping Therapy),Offline,45 min,1200,,Hijama (Cupping Therapy) is a 45 min session available offline under our Specialized Therapies services.,"Our Hijama (Cupping Therapy) offers personalized support designed to enhance well-being within the area of Specialized Therapies. This 45 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Specialized Therapies,Guided Hypnotherapy,Both,60 min,1800,,Guided Hypnotherapy is a 60 min session available both under our Specialized Therapies services.,"Our Guided Hypnotherapy offers personalized support designed to enhance well-being within the area of Specialized Therapies. This 60 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Health & Wellness Screening,"Body Mass ""Index (BMI) & Body Fat
Analysis""",Offline,15 min,400,,"Body Mass ""Index (BMI) & Body Fat
Analysis"" is a 15 min session available offline under our Health & Wellness Screening services.","Our Body Mass ""Index (BMI) & Body Fat
Analysis"" offers personalized support designed to enhance well-being within the area of Health & Wellness Screening. This 15 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Health & Wellness Screening,Nutritional Deficiency Screening,Offline,30 min,800,,Nutritional Deficiency Screening is a 30 min session available offline under our Health & Wellness Screening services.,"Our Nutritional Deficiency Screening offers personalized support designed to enhance well-being within the area of Health & Wellness Screening. This 30 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Health & Wellness Screening,Cardiovasc ular Health Check,Offline,30 min,1200,,Cardiovasc ular Health Check is a 30 min session available offline under our Health & Wellness Screening services.,"Our Cardiovasc ular Health Check offers personalized support designed to enhance well-being within the area of Health & Wellness Screening. This 30 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Health & Wellness Screening,"Postural & Gait
Analysis",Offline,45 min,1000,,"Postural & Gait
Analysis is a 45 min session available offline under our Health & Wellness
Screening services.","Our Postural & Gait
Analysis offers personalized support designed to enhance well-being within the area of Health & Wellness
Screening. This 45 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Health & Wellness Screening,Mental Health Screening & Assessment,Online,30 min,800,,Mental Health Screening & Assessment is a 30 min session available online under our Health & Wellness Screening services.,"Our Mental Health Screening & Assessment offers personalized support designed to enhance well-being within the area of Health & Wellness Screening. This 30 min session, available online, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Online & App-Based Services,Daily Wellness & Mindful Content Subscription,Online,Daily,400,,Daily Wellness & Mindful Content Subscription is a daily session available online under our Online & App-Based Services services.,"Our Daily Wellness & Mindful Content Subscription offers personalized support designed to enhance well-being within the area of Online & App-Based Services. This daily session, available online, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Online & App-Based Services,Weekly Live Yoga/Meditation Class,Online,Weekly,500,,Weekly Live Yoga/Meditation Class is a weekly session available online under our Online & App-Based Services services.,"Our Weekly Live Yoga/Meditation Class offers personalized support designed to enhance well-being within the area of Online & App-Based Services. This weekly session, available online, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Online & App-Based Services,Ask a Specialist' Chat Service,Online,,800,,Ask a Specialist' Chat Service is a customized duration session available online under our Online & App-Based Services services.,"Our 'Ask a Specialist' Chat Service offers personalized support designed to enhance well-being within the area of Online & App-Based Services. This customized duration session, available online, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Online & App-Based Services,Habit Coaching & Tracking App Subscription,Online,,800,,Habit Coaching & Tracking App Subscription is a customized duration session available online under our Online & App-Based Services services.,"Our Habit Coaching & Tracking App Subscription offers personalized support designed to enhance well-being within the area of Online & App-Based Services. This customized duration session, available online, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
